
rxchar 'h'
FHSS scan starting...
CAD configured: symb=2, peak=56, pnr_delta=8, timeout=7 ms (SF6 BW125kHz)
FHSS scan started from ch0 (902.200 MHz)
sweep 1: 58 ms, mode=RX
sweep 2: 48 ms, mode=RX
sweep 3: 50 ms, mode=RX
sweep 4: 47 ms, mode=RX
sweep 5: 49 ms, mode=RX
sweep 6: 50 ms, mode=RX
sweep 7: 48 ms, mode=RX
sweep 8: 50 ms, mode=RX
sweep 9: 47 ms, mode=RX
sweep 10: 48 ms, mode=RX
sweep 11: 47 ms, mode=RX
sweep 12: 48 ms, mode=RX
sweep 13: 49 ms, mode=RX
sweep 14: 49 ms, mode=RX
sweep 15: 51 ms, mode=RX
sweep 16: 47 ms, mode=RX
sweep 17: 50 ms, mode=RX
sweep 18: 48 ms, mode=RX
sweep 19: 50 ms, mode=RX
sweep 20: 48 ms, mode=RX
sweep 21: 51 ms, mode=RX
sweep 22: 48 ms, mode=RX
sweep 23: 48 ms, mode=RX
sweep 24: 48 ms, mode=RX
sweep 25: 49 ms, mode=RX
sweep 26: 47 ms, mode=RX
sweep 27: 49 ms, mode=RX
sweep 28: 48 ms, mode=RX
sweep 29: 50 ms, mode=RX
sweep 30: 47 ms, mode=RX
sweep 31: 50 ms, mode=RX
sweep 32: 48 ms, mode=RX
sweep 33: 49 ms, mode=RX
sweep 34: 49 ms, mode=RX
sweep 35: 48 ms, mode=RX
sweep 36: 48 ms, mode=RX
sweep 37: 48 ms, mode=RX
sweep 38: 49 ms, mode=RX
sweep 39: 49 ms, mode=RX
sweep 40: 48 ms, mode=RX
sweep 41: 48 ms, mode=RX
sweep 42: 48 ms, mode=RX
sweep 43: 49 ms, mode=RX
sweep 44: 47 ms, mode=RX
sweep 45: 48 ms, mode=RX
sweep 46: 48 ms, mode=RX
sweep 47: 48 ms, mode=RX
sweep 48: 47 ms, mode=RX
sweep 49: 48 ms, mode=RX
sweep 50: 49 ms, mode=RX
sweep 51: 48 ms, mode=RX
CAD detected on ch17 (911.040 MHz) mode=RX
False CAD on ch17, resuming scan
sweep 52: 60 ms, mode=RX
CAD detected on ch36 (920.920 MHz) mode=RX
False CAD on ch36, resuming scan
sweep 53: 59 ms, mode=RX
sweep 54: 49 ms, mode=RX
CAD detected on ch15 (910.000 MHz) mode=RX
False CAD on ch15, resuming scan
sweep 55: 59 ms, mode=RX
sweep 56: 50 ms, mode=RX
sweep 57: 49 ms, mode=RX
sweep 58: 50 ms, mode=RX
sweep 59: 50 ms, mode=RX
sweep 60: 47 ms, mode=RX
CAD detected on ch21 (913.120 MHz) mode=RX
False CAD on ch21, resuming scan
sweep 61: 60 ms, mode=RX
sweep 62: 47 ms, mode=RX
CAD detected on ch12 (908.440 MHz) mode=RX
False CAD on ch12, resuming scan
